vedette	inversée	étymologie avec grec
artériologie	eigoloirétra	de αρτηρία, artère, et λόγος, discours
artériomalacie	eicalamoirétra	de άρτηρία, artère, et μαλακός, mou
artérioplanie	einalpoirétra	de artère, et πλάνος, errant
artériosclérose	esorélcsoirétra	de αρτηρία, artère, et σκληρός, dur
artériosténose	esonétsoirétra	de αρτηρία, artère, et στενός, resserré
artériostéose	esoétsoirétra	de. artère, et οστε'ον, os
artériotomie	eimotoirétra	de άρτηρία, artère, et τομή, section
artériotrepsie	eispertoirétra	de artère, et τρεψις, torsion
arthralgie	eiglarhtra	de άρόρον, articulation, et άλγος, douleur
arthrembole	elobmerhtra	de άρθρου, articulation, et εμβάλλειυ, réduire
arthrémie	eimérhtra	de άρθρου, articulation, et αψ.α, sang
arthrite	etirhtra	de άρθρου, articulation, et de la terminaison ite, qui indique une phlegmasie;
arthritie	eitirhtra	de άρθρου, articulation
arthritolithe	ehtilotirhtra	de άρθρΐτις, arthrite, ou άρθρου, articulation, et λίθος, pierre
arthrocace	ecacorhtra	de άρθρου, jointure, articulation, et κακόν, mauvais
arthrocèle	elècorhtra	de άρθρου, articulation, et κήλη, tumeur
arthrodie	eidorhtra	de άρθρου, articulation :
arthrodynie	einydorhtra	de άρθρου, articulation, et όό''ύυη, douleur
arthrogrypose	esopyrgorhtra	de άρθρου, articulation, et γρυπός, courbé
arthrohydrine	enirdyhorhtra	de άρθρου, articulation, et ΰό'ωρ, eau
arthrologie	eigolorhtra	de άρθρου, articulation, et λόγος, traité
arthropathie	eihtaporhtra	de άρθρου, articulation, et’ πάθος, maladie
arthroplastique	euqitsalporhtra	de άρθρου, articulation, et πλάσσειυ, former
arthropyose	esoyporhtra	de άρθρου, articulation, et πϋου, pus
arthrosie	eisorhtra	de άρθρου, articulation
arthrosporé	éropsorhtra	de άρθρου, articulation, et σπορά, graine
arthrozoaire	eriaozorhtra	de άρθρου, articulation, et ζώου, animal
artocarpe	epracotra	de άρτος, pain, et καρπός, fruit
aryténoïde	edïonétyra	de άρόταινα, ! entonnoir, et εί^ες, forme
asaphie	eihpasa	de a priv., et σαφής, clair
asarcie	eicrasa	de a priv., et σαρξ, chair
asbeste	etsebsa	de άσβεστος, de a priv., ét σβέννύαι, j’éteins
asbolique	euqilobsa	de άσβόλη, suie
ascaride	ediracsa	de άσκαρίζειν, sautiller, remuer
aschistodactylie	eilytcadotsihcsa	de a priv., σχιστός, divisé, et δάκτυλος, doigt
ascidie	eidicsa	de ασκός, outre, ascidium
ascite	eticsa	de ασκός, outre
asclépiion	noiipélcsa	de άσκληπιεϊεν, temple d’Esculape
ascophore	erohpocsa	de ασκός, outre, et φέρειν, porter
asialie	eilaisa	de a privatif, et σίαλεν, salive
asile	elisa	de asylum, grec άσυλον, temple, lieu de refuge 
asitie	eitisa	de a priv., et σίτον, aliment 
askélie	eiléksa	de a priv., et σκέλος, jambe
askose	esoksa	de ασκός, outre
asode	edosa	άσόί/,ς de άση, dégoût
aspalasome	emosalapsa	de άσπάλαξ, taupe, et σώμα, corps
aspermatisme	emsitamrepsa	de a priv., et σπέρμα, sperme
asphyxie	eixyhpsa	de apriv., βΐσφυξις, pulsation : proprem’ent, privation on. absence du pouls
aspidophore	erohpodipsa	de άσπις, bouclier, et φερείν, porter
asplénium	muinélpsa	de a priv. et σπλήν, rate
astathe	ehtatsa	de ασταθής, insta ble, de a priv., et σταθής, stable; couche Secondaire intérieure ou interne, ou membrane cellulaire secondaire (H. Möhl)
asternal	lanretsa	de a priv., et στερνόν, le sternum
asthénie	einéhtsa	faiblesse de a priv., et σθένος, force
asthénopie	eiponéhtsa	de ασθενής, faible, et ωψ, œil
asthénopyre	eryponéhtsa	de ασθενής, faible, et πυρ, fièvre
asthme	emhtsa	de άω, j’aspire
astigmatisme	emsitamgitsa	de a privatif, et στίγιζα, point
astome	emotsa	de a priv., et στόμα, bouche
astragale	elagartsa	de αστράγαλος, qui signifie un dé
astrobolisme	emsilobortsa	de άστρον, astre, et βάλλε w, lancer
asystolie	eilotsysa	de a priv., et συστολή, systole
ataraxie	eixarata	de a priv., et τάραξις, émotion
ataxie	eixata	de a priv., et τάξις, I ordre
ataxophémie	eiméhpoxata	de a privatif, τάξις, ordre, et φψ.ί, parler
atecnie	einceta	de a privatif, et τέκνου, enfant
atélectasie	eisatceléta	de ατελής, incomplet, et εκτασις, extension 
atélie	eiléta	de ατελής, incomplet, de a priv., et τέλος, fin
atélomyélie	eiléymoléta	de a privatif, τέλος, fin, et μυελός, moelle
athermane	enamrehta	de a priv., et θέρρ.η, chaleur
atherome	emorehta	de άθήρα, bouillie
athlète	etèlhta	de άθλος, combat
atlodyme	emydolta	de άτλας, et ί’ίί'υμος, d’où, par contraction arbitraire, dyme, pris pour désigner tout monstre simple inférieurement et double supérieurement
atmiatrie	eirtaimta	de άτμός, vapeur, et ιατρεία, médecine
atmidiatrique	euqirtaidimta	άτμίς, άτμίίος vapeur, et ιατρική, médecine
atmomètre	ertèmomta	de άτμός, ou άτμίς, vapeur, et με'τρεν, mesure
atmosphère	erèhpsomta	de άτμός vapeur, et σφμίρα», sphère : comme, si l’on disait sphère de vapeur
atocie	eicota	de a privatif, et τάκος, accouchement
atome	emota	de a privatif, et τομή, section
atomogynie	einygomota	de άτομος, indivisible, et γυνή, femme
atonie	einota	de a privatif, et τόνος, ton, ressort
atrachélie	eiléhcarta	de a priv., et τράχηλος, cou
atrésie	eisérta	de a priv., et τρήσις, trou
atrétélytrie	eirtylétérta	de άτρητος, imperforé, et ελυτρον, vagin
atrétentérie	eirétnetérta	de άτρητος, imperforé, et εντερον, intestin
atrétoblépharie	eirahpélbotérta	de άτρητος, imperforé, et βλε'φαρον, paupière
atrétocéphale	elahpécotérta	de άτρητος, imperforé, et κεφαλή, tête
atrétocorme	emrocotérta	de άτρητος, imperforé, et κορμός, tronc
atrétocysie	eisycotérta	de άτρητος, imperforé, et κυσός, anus
atrétocystie	eitsycotérta	de άτρητος, imperforé, et κύστις, vessie
atrétogastrie	eirtsagotérta	de άτρητος, imperforé, et γαστήρ, estomac
atrétolémie	eimélotérta	de άτρητος, imperforé, et λαιμός, gosier
atrétométrie	eirtémotérta	de άτρητος, imperforé, et μήτρα, matrice
atrétopsie	eispotérta	de άτρητος, etwô, œil
atrétorrhinie	einihrrotérta	de άτρητος, imperforé, etpw, nez
atrètostomie	eimotsotèrta	de άτρητος, imperforé, et στόμα, bouche
atréturéthrie	eirhtérutérta	de άτρητος, imperforé, et ούρήθρα, urèthre
atrichiasis	sisaihcirta	a priv., et 6ρίξ, cheveu
atrope	eporta	de a priv., et τρέπειν, tourner, τρόπος, tour
atrophie	eihporta	de a priv., et τροφή, nourriture
atypique	euqipyta	de a priv., et τύπος, type
augnathe	ehtangua	de αυ, qui indique un redoublement, et γνάθος, mâchoire
aulacomèle	elèmocalua	de αδλαξ, sillon, et μήλη, sonde
aulacostome	emotsocalua	de αδλαξ, sillon, et στόμα, bouche; Aulacostoma gulo, Hœmopis nigra, Savigny, Hirudo vorax, Johnston
autarcie	eicratua	de αυτός, soimême, et άρκεϊυ, suffire
autéchoscope	epocsohcétua	de αύτός, soi-même, ηχώ, son, et σκοπεϊν, examiner
autémésie	eisémétua	de αύτός, spontané, et εμεσις, vomissement
autocarpien	neipracotua	de αύτός, seul, et καρπός, fruit
autochthone	enohthcotua	de αύτός, même, et χθων, terre
autocinésie	eisénicotua	de αύτός, soi-même, et κίνησις, mouvement
autocratie	eitarcotua	de αύτός, soi-même,, et de κράτος, force, puissance
autogène	enègotua	de αύτός, propre, et γενής, engendré
autogenèse	esènegotua	de αύτός, soimême, et γεννάν, engendrer
autognose	esongotua	de αύτός, soi-même, et γνώσίς, connaissance
autolabe	ebalotua	de αύτός, soi-même, et λαβίς, pince
automatique	euqitamotua	de αυτόματός, spontané
autonomie	eimonotua	indépendance, gouvernement par soi-même de αύτός, soi-même, et νόμος, gouvernement
autophagie	eigahpotua	de αυτός, soi-même, et φαγεΐν, manger
autophonie	einohpotua	de αύτός, soi-même, et φωνή, voix
autoplastie	eitsalpotua	de αύτός, soi-même, et πλάσσεω ou πλαττειν, faire, imiter
autopsie	eispotua	de αύτός, soi-même, et ό'ψις, vue
autostéthoscope	epocsohtétsotua	de αύτός, soi-même, et stéthoscope
auxomètre	ertèmoxua	de αδξη, augmentation, et μέτρου, mesure
aveugle	elgueva	de ab, indiquant privation, et oculus, œil ; cæcus, τυφλός, aH. et
azoodynamie	eimanydooza	de a privatif, ζωή, vie, et ό'ύναμι;, force
azote	etoza	de a privatif, et ζωή, vie : qui prive de la vie, qui est impropre à entretenir la vie 
azygos	sogyza	de a priv. et ζυγός, pair
azyme	emyza	de a priv., et ζύμη, levain
balane	enalab	de βάλανος, gland
balanide	edinalab	de βάλανος, gland
balanite	etinalab	de βάλανος, gland, et de la terminaison ite, qui indique une phlegmasie 
balanophorées	seérohponalab	de βάλανος, gland, βίφ-'ρειν, porter
balano-posthite	etihtsop-onalab	de βάλανος, gland, , et ποσόη, prépuce
balanorrhagie	eigahrronalab	de βάλανος, gland, et de ρτγνυμι, je sors avec force
balsamodendron	nordnedomaslab	de βάλσαμον, baume, et arbre
bardane	enadrab	Lappa communis, Coss, et Germ. ; herba personacia, Pseudo-Apulée ; herba persolata ou' persollata, Pline; άρκτιου, Dioscoride, etc., bardana officinarum
barologie	eigolorab	de βάρος, pesanteur, et λογΟς, traité
baromacromètre	ertèmorcamorab	de βάρος, poids, μάκρος, long, et μέτρου, mesure
baromètre	ertèmorab	de βάρος, poids, et i μετρον, mesure : mot à mot, mesure de pesanteur
baroscope	epocsorab	de βάρος, pesanteur, et mc-ûi, examiner;
baryécoïe	eïocéyrab	de βαούς, pesant, et ακούω, j’entends 
baryencéphalie	eilahpécneyrab	de βαρύς, pesant, et encéphale
baryglossie	eissolgyrab	de βαρύς, pesant, et γλώσσα, langue
baryphonie	einohpyrab	de βαρύς, pesant, et φωνή, voix
baryte	etyrab	deß/ρύς, pesant;
basigyne	enygisab	de βάσις, base, et γυνή, femelle
basilicon	nocilisab	de βασιλικός, royal
basilique	euqilisab	de βασιλικός, royal
basio-cérato-glosse	essolg-otaréc-oisab	de βάσις, base, κεράς, κε'ρατος, corne, et γλώσσα, langue
basiocestre	ertsecoisab	de βάσις, base, èt κέστρος, instrument pointu
batraciens	sneicartab	de βάτραχος, grenouille
bdellépithèque	euqèhtipélledb	de βίέλλα, sangsue, et επιθήκη, pose
bdellépithèse	esèhtipélledb	de βδελλα, sangsue, et επίθεσες, apposition
bdelliens	sneilledb	de βδιλλα, sangsue
bdellomètre	ertèmolledb	de βίέλλα, sangsue, et y.iτρεν, mesure;
béchique	euqihcéb	de βήξ, génitif βηχός, toux
béchorthopnée	eénpohtrohcéb	de βήξ, génitif βηχος, toux, ορθός, droit, et πνειν, respirer
bélonoïdes	sedïonoléb	de βελόνη, aiguille, et ειό\ς, forme
bélonoïdes	sedïonoléb	de βίλες, flèche, et εϊί'ος, forme
beurre	errueb	de βοϋς, vache, et de τυρός, fromage
bicéphale	elahpécib	mot hybride, composé du latin bis, deux, et κεφαλή, tête : il vaut mieux dire dicéphale
biliverdine	enidrevilib	(de χολή, bile, et πυρρός, orangé), Berzelius; biliphéine de Simon, très-probablement
biochimie	eimihcoib	de βίος, vie, et chimie
biodynamique	euqimanydoib	de βίος, vie, et dynamique
biogène	enègoib	de βίος, vie
biognose	esongoib	de βίος, vie, et γνώσις, connaissance
biologie	eigoloib	de βίος, vie, et Ιόγς, discours
biolychnion	noinhcyloib	de βίος, vie, et λύχνος, flambeau
biomantie	eitnamoib	de βίος, vie, et μαντεία, divination
bioscopie	eipocsoib	de βίος, vie, et σκοπέϊν, examiner
biosphère	erèhpsoib	deβίος, vie, et Sphère
biotaxie	eixatoib	de βίος, vie, et τάξις, arrangement
blastème	emètsalb	de βλάστημα, germination
blasteux	xuetsalb	de βλαστός, germe
blastocardie	eidracotsalb	de βλαστός, germe, et καρίία, cœur
blastocarpe	epracotsalb	de βλαστός, germe, et καρπός, fruit
blastocélie	eilécotsalb	de βλαστός, germe, et κηλις, tache; macula germinativa
blastochyle	elyhcotsalb	de βλαστός, germe, et χυλός, suc
blastoderme	emredotsalb	de βλαστός, germe, et ^ίρμα, peau
blastophore	erohpotsalb	de βλαστός, germe, φέρω, et je porte 
blastostroma	amortsotsalb	de βλαστός, germe, et στρώμα, couche; stratum germinativum ;
bléchropyre	eryporhcélb	de βληχρος, lent, βίπΰρ, feu
blennadénite	etinédannelb	de βλε'ννα, mucus, et άύήν, glande
blennélytrie	eirtylénnelb	de βλέννα, mucus, et ελυτρον, vagin
blennentérie	eirétnennelb	de βλέννα, mucus, et έντερου, intestin
blennisthmie	eimhtsinnelb	de βλέννα, mucus, et ισθμός, le pharynx
blennocystite	etitsyconnelb	de βλέννα, mucus, et ζύστις, vessie
blennogène	enègonnelb	de βλέννα, mucus, et γένεσις, .génération
blennométrite	etirtémonnelb	de βλέννα, mucus, et μήτρα, matrice
blennopyrie	eiryponnelb	de βλε'ννα, mucus, et πϋρ, fièvre
blennorrhagie	eigahrronnelb	de βλε'ννα, mucus, et ρήγνυμι, je romps, je chasse dehors
blennorrhée	eéhrronnelb	de βλέννα, mucus, et ρεϊν, couler
blennorrhinie	einihrronnelb	de βλέννα, mucus, et pîv, nez
blennose	esonnelb	de βλέννα, mucus
blennostase	esatsonnelb	de βλέννα, mucus, et στάσις, arrêt
blennothorax	xarohtonnelb	de βλέννα, mucus, et θώραξ, le thorax
blennotorrhée	eéhrrotonnelb	de βλέννα, mucus, ούς, ώτός, oreille, et ρεϊν, couler
blennuréthrie	eirhtérunnelb	de βλέννα, mucus, et ουρήθρα, l’urèthre
blennurie	eirunnelb	de βλέννα, mucus, et oùpov, urine
blépharadénite	etinédarahpélb	de βλέφαρον, paupière, et άίήν, glande
blépharite	etirahpélb	de βλέφαρον, paupière, et de la terminaison ite, qui indique une phlegmasie
blépharoncose	esocnorahpélb	de βλέφαρον, paupière, et ογκωσις, gonflement
blépharophimosis	sisomihporahpélb	de βλέφαρον, paupière, et φίμωσις, ligature
blépharophthalmie	eimlahthporahpélb	de βλέφαρον, paupière, et οφθαλμός, œil
blépharophyme	emyhporahpélb	de βλέφαρον, paupière, et φϋμα, tumeur
blépharoplastie	eitsalporahpélb	de βλέφαρον, paupière, et πλάσσειν, former
blépharoplégie	eigélporahpélb	de βλέφαρον, paupière, et πλήσσειν, frapper
blépharoptose	esotporahpélb	de βλέφαρον, paupière, βίπτώσις, chute
blépharopyorrhée	eéhrroyporahpélb	de βλέφαρου, paupière, πΰου, pus, et ρε.ϊυ, couler
blepharospasme	emsapsorahpelb	de βλέφαρου, paupière, et σπασμός, spasme
blépharostat	tatsorahpélb	de βλέφαρου, paupière, et στατής, qui arrête
blépharosténose	esonétsorahpélb	de βλέφαρου, paupière, et στενός, étroit
blépharoxyste	etsyxorahpélb	de βλέφαρου, paupière, et ξύειν, gratter
bol	lob	de βώλος, morceau, bouchée
bolide	edilob	de βολίς, βολίίος, trait, projectile
bombyx	xybmob	de βόμβυξ, ver à soie
borborygme	emgyrobrob	de βορβορυγμός, murmure
botanique	euqinatob	de βοτάνη, herbe
botanologie	eigolonatob	de βοτάνη, herbe, et λόγος, discours
botanophage	egahponatob	de βοτάνη, plante, et φαγεϊν, manger
bothriocéphale	elahpécoirhtob	de βόόριον, petite fosse, et κεφαλή, tête 
bothrion	noirhtob	de βόθρος, fosse, cavité 
botrye	eyrtob	de βότρυς, grappe
botrytique	euqityrtob	de βότρυς, grappe
boulimie	eimiluob	de ßcu, particule augmentative, et λιμός, faim 
brachiopodes	sedopoihcarb	de βραχίων bras, οίπεϋς, pied;
brachiotomie	eimotoihcarb	de βραχίων, bras, et τέμνε», couper
brachygnathe	ehtangyhcarb	de βραχύς, court, et γνα'Οος, mâchoire
brachymétrope	eportémyhcarb	deβραχύς, court, μέτρον, mesure, et ώψ, œil
brachypnée	eénpyhcarb	de βραχύς, court, et πνοιή, haleine, respiration
brachypote	etopyhcarb	de βραχύ, peu, et πότης, buveur
brachyures	seruyhcarb	de βραχύς, court, et oùpà, queue
bradyfibrine	enirbifydarb	de βραίυς, lent, et fibrine;
bradypepsie	eispepydarb	de βραδύς, lent, εΐπέψις, coction
bradypnée	eénpydarb	de βραίΰς, lent, et πνοιή, respiration
bradyspermatisme	emsitamrepsydarb	de βραδύς, lent, et σπέρμα, sperme
bradyurie	eiruydarb	de βραίυς, lent, et σύρείν, uriner
branchiopodes	sedopoihcnarb	de βράγχια, branchies, et ποϋς, pied
bregma	amgerb	de βρέχειν, humecter, à cause de la fontanelle qui s’y trouve
bromatologie	eigolotamorb	de βρώμα, βρώματος, aliment, et ΪΛγς, discours
bromatométrie	eirtémotamorb	de βρώμα, aliment, et μέτρον, mesure
brome2	emorb	de βρώμες, mauvaise odeur 
bromidrose	esordimorb	de βρώμες, puanteur, et ίδρως, sueur
bromographie	eihpargomorb	de βρώμα, aliment, et γραφή, description
bronchectasie	eisatcehcnorb	de βρόγχος, bronche, etsW σις, dilatation
bronches	sehcnorb	plur. irrég de βρόγχος, gorge ou gosier
bronchocèle	elècohcnorb	de βρογχες, gorge, trachée-artère, et κήλη, hernie, tumeur
broncholithe	ehtilohcnorb	de bronche, et λίβες, pierre
broncho-mycosis	sisocym-ohcnorb	de μύκης, champignon
bronchophonie	einohpohcnorb	de βρόγχος, gosier, bronches, et φωνή, voix 
bronchoplastie	eitsalpohcnorb	de βρόγχος, trachée, et πλάσσειν, former
bronchorrhagie	eigahrrohcnorb	de βρόγχος, bronches, et ρήγνυμι, couler avec force
bronchorrhée	eéhrrohcnorb	de βρόγχος, gosier, bronche, et ρεϊν, couler
bronchotome	emotohcnorb	de βρόγχος, gorge, et τομή, section 
bryologie	eigoloyrb	de βρύου, mousse, et λο'γος, traité
bryoplaste	etsalpoyrb	de βρύου, bruyère, et πλάσσειυ, former
bryozoaires	seriaozoyrb	de βρύου, algue, et ζώου, animal
brytolature	erutalotyrb	de βρύτου, bière 
bubonocèle	elèconobub	de βουβών, aine, et κήλη, hernie
bunioïde	edïoinub	de βούνιον, navet
buphthalmie	eimlahthpub	de βο0ς, bœuf, et οφθαλμός, œil î œil de bœuf
butyromètre	ertèmorytub	de βεύτυρος, beurre, et μετρον, mesure
cacaoyer	reyoacac	de θεός, dieu, et βρώμα, aliment : aliment des dieux
caccagogue	eugogaccac	de κάκκη, excrément, et άγιιν, pousser
cachexie	eixehcac	de κακός, mauvais, et έξις, disposition, habitude du corps
cacocholie	eilohcocac	de κακός, mauvais, et χελή, bile
cacochylie	eilyhcocac	de κακός, mauvais, et χυλός, chyle
cacochyme	emyhcocac	de κακός, mauvais, et χυμός, suc, humeur
cacoèthe	ehtèocac	de κακός, mauvais, et χθες, caractère, nature
cacogenèse	esènegocac	de κακός, mauvais, et γενεσις, génération, production
cacopathie	eihtapocac	de κακός, mauvais, et πάθες, affection, maladie
cacoplastique	euqitsalpocac	de κακός, mal, et πλάσσειν, former
cacopragie	eigarpocac	de κακός, mauvais, et πραγ, radical de πράττε«, agir
cacositie	eitisocac	de κακός, mauvais, et σιτίεν, aliment
cacosphyxie	eixyhpsocac	de κακός, mauvais, et σφύξις, pouls
cacostome	emotsocac	de κακός, mauvais, et στόμα, bouche
cacothanasie	eisanahtocac	de κακός, mauvais, et θάνατος, mort
cacothymie	eimyhtocac	de κακός, mauvais, et θυμός, moral
cacotrophie	eihportocac	de κακός, mauvais, et τρεφή, nutrition
cadavre	ervadac	cadaver, de cadere, tomber, comme le mot grec πτώμα vient de πτόω, je tombe
calamédon	nodémalac	de κάλαμος, chalumeau, flûte
calament	tnemalac	de καλάς, bon, et μίνθα, menthe, c’est-à-dire, bonne menthe
calathide	edihtalac	de καλαθίς, corbeille
calicarpide	edipracilac	de calice, et καρπός, fruit
calice	ecilac	du grec κάλυζ, bouton de fleur, et, plus particulièrement, ce qui enveloppe la fleur
callichrome	emorhcillac	de κάλλος, beauté, βίχρώρα, couleur
callipédie	eidépillac	de κάλλος, beauté, et παϊς, παώ'ός, enfant
callisthénie	einéhtsillac	de κάλλος, beauté, et σθένος, force
calomel	lemolac	Kalomelas paraît venir (car la chose n’est pas tout à fait sans incertitude) de καλός, beau, et ρέλας, noir; on dit aussi que Turquet de Mayerne a donné ce nom au chlorure de mercure en l’honneur d’un jeune nègre qui l’aidait dans ses préparations; quelques-uns font venir ce mot du changement des termes mercurius dulcis en καλός et mel, miel
calorimètre	ertèmirolac	de calor, chaleur, et de μέτρον, mesure 
calybion	noibylac	de καλύπτπν, couvrir, envelopper
camérostome	emotsorémac	de camera, chambre, et σ-ου,α, bouche
camphogène	enègohpmac	de camphora, camphre, et γενεσις, production ;
camptotrope	eportotpmac	de καμπτός' infléchi, βίτρέπειν, tourner
campylotrope	eportolypmac	de καμπύλος, courbé, et τρέπειν, tourner
cancroïde	edïorcnac	de cancer, et ει^ος, forme
canthoplastie	eitsalpohtnac	de κανθός, l’angle de l’œil, et πλάσσειν, former, figurer
canthorrhaphie	eihpahrrohtnac	de κανθός, coin de l’œil, et ραφή, suture
carchésien	neiséhcrac	de καρχησιον, le haut d’un mât de vaisseau
carcinome	emonicrac	de καρκίνος, cancer
carcinose	esonicrac	de καρκίνος, cancer
cardiaire	eriaidrac	de καρδία, cœur
cardialgie	eiglaidrac	de καρδία, le cardia, et άλγος, douleur 
cardianastrophe	ehportsanaidrac	de καρδία, le cœur, άνά, en sens contraire, et στρε'φειν, tourner
cardiaque	euqaidrac	de καρδία, le cœur, ou l’orifice supérieur de l’estomac
cardiarctie	eitcraidrac	mot hybride et mauvais, dezap δία, cœur, et arctare, resserrer
cardiatélie	eilétaidrac	de καρδία, cœur, et άτελτ,ς, incomplet
cardiectasie	eisatceidrac	de καρδία, cœur, et έ'κτασις, dilatation
cardielcose	esocleidrac	de καρδία, cœur, et ε’λκωσις, ulcération
cardiocèle	elècoidrac	de καρδία, cœur, et κτί'.η, hernie
cardiodémie	eimédoidrac	de καρδία, cœur, et δήμος, graisse
cardiographe	ehpargoidrac	de καρδία,' cœur, et γρα'φειν, décrire
cardiographie	eihpargoidrac	de καρίία, cœur, et γραφή, description
cardiologie	eigoloidrac	de καρΛα, cœur, et λόγος, discours
cardiomalacie	eicalamoidrac	de καρίία, cœur, et μαλακό;, mou;
cardiopalmie	eimlapoidrac	de καρδία, cœur, et παλμό;, battement;
cardiopathie	eihtapoidrac	de καρίία, cœur, et πάθος, maladie
cardioplégie	eigélpoidrac	de καρίία, cœur, et πληγή, coup, blessure
cardiorrhexie	eixehrroidrac	de καρίία, cœur, et ρήξις, déchirement
cardiosclérose	esorélcsoidrac	de καρ^ία, cœur, et σκληρά;, dur
cardiosténose	esonétsoidrac	de καρίία, cœur, et στίνό;, étroit
cardiotomie	eimotoidrac	deaapiia, cœur, et τομή, section
cardite	etidrac	de καρίία, cœur, et de la terminaison ite, qui indique une phlegmasie
carditique	euqitidrac	de καρδία, cœur
carébarie	eirabérac	de κάρη, tête, et βάρος, poids
carotide	editorac	carofzs, καρωτ'ις de κάρες, assoupissement
carotique	euqitorac	de κάρες, assoupissement
carpadèle	elèdaprac	de καρπός, fruit, et άδηλος, couvert
carpe2	eprac	de καρπός, poignet
carpelle	elleprac	de καρπός, fruit
carphologie	eigolohprac	de κάρφος, flocon, et λε'γειν, ramasser
carpobâlsamum	mumaslâboprac	de καρπός, fruit, et βάλσαμον, baume
carpolithe	ehtiloprac	de καρπός, fruit, et λίθος, pierre
carpologie	eigoloprac	de καρπός, fruit, et λόγος, discours
carpophore	erohpoprac	de καρπός, fruit, et φέρειν, porter,
carus	surac	du grec κάρες, assoupissement profond;
caryocostin	nitsocoyrac	de caryo, abrégé pour καρυεφολλον, girofle, et κόστες, costus
caryone	enoyrac	de κάρυεν, noix
caryopse	espoyrac	άβκάρυεν, noix, et δψίς, apparence
cassiterides	sediretissac	de κασσίτερος, étain
catacausis	sisuacatac	de κατακαίειν, brûler
cataclysme	emsylcatac	de ζατακλύζειν, inonder
catacoustique	euqitsuocatac	de κατά, contre, et acoustique
catadioptrique	euqirtpoidatac	de κατά, contre, et dioptrique
cataglosse	essolgatac	de κατά, en.bas, et γλώσσα, langue
catagmatique	euqitamgatac	de κάταγμα, fracture
catalepsie	eispelatac	de καταλαμβάνειν, surprendre, saisir, etc.
catalyse	esylatac	de καταλύει, dissoudre 
cataménial	lainématac	de ζαταμτίνια, les règles : κατά, suivant, et μτ,ν, mois
catapasme	emsapatac	de zarà, sur, et πάσσειν, saupoudrer
cataphora	arohpatac	de κατά, en bas, et φερειν, porter : tomber d’en haut
cataplasme	emsalpatac	de καταπλάσσειν, enduire, appliquer dessus
cataplexie	eixelpatac	de κατά, sur, et πλάσσεις, frapper
cataptose	esotpatac	de καταπίπτεις, tomber
cataracte	etcaratac	bas lat. cataracta de καταρράκτη, qui se précipite, chute d’eau, de ζαταρράσσεις, se précipiter : à cause que la cataracte était supposée due à la chute d’une humeur sur les yeux; en latin, suffusio;en grec,
catarrhe	ehrratac	de ζατά, en bas, et de ρέω, je coule : proprement, écoulement;
catarrhegtique	euqitgehrratac	de καταόρησσειν, briser, dissoudre
catartisme	emsitratac	de καταρτίζειν, réparer, replacer
catastaltique	euqitlatsatac	de καταστέλλειν, resserrer
catastase	esatsatac	de κατά, selon, et ιστημι, je pose
catharsie	eisrahtac	de καθαίρειν, purger, purgation
cathartine	enitrahtac	de κάθάρσις, purgation
cathartique	euqitrahtac	de κάθαρσις, purgation
cathémérine	eniréméhtac	de κατά, pendant, et de ημέρα, jour
cathérèse	esèréhtac	de καθαίρειν, soustraire, abattre, renverser
cathéter	retéhtac	de καθιέναι, plonger
cathode	edohtac	dezava, en bas, et όδες, route
catholicum	mucilohtac	de καθολικός, universel 
catholique	euqilohtac	de καθολικός, général, universel
catocathartique	euqitrahtacotac	de κάτω, par bas, et καθαίρειν, purger
catoche	ehcotac	de κατέχεις, retenir
catocœlie	eilœcotac	de κάτω, en bas, et κοιλία, ventre
catocœnadelphe	ehpledanœcotac	de κάτω, par en bas, κοινός, commun, et αδελφός, frère
catomisme	emsimotac	de κάτω, en bas, et ωμός, épaule
catopode	edopotac	de κάτω, en bas, et ποϋς, pied
catopter	retpotac	de κατά, contre, et απτεμαι, voir
catoptrique	euqirtpotac	de ζάτεπτρεν, miroir, dérivé de κατά, en sens contraire, et δπτομαι, je vois
catoptroscopie	eipocsortpotac	de catoptrique, et σκοπειν, examiner
catotérique	euqirétotac	de κατώτερες, inférieur : qui fait couler par le bas
catulotique	euqitolutac	de κ.ατευλοΰν, cicatriser, de κατά, et εύλη, cicatrice
caulédon	nodéluac	de καυληίόν, à l’instar d’une tige, de καυλός, tige
caulobulbe	ebluboluac	de καυλός, tige, βολβός, bulbe, ou σαρξ, σαρκός, chair
caulocabpien	neipbacoluac	de καυλός, tige, et καρπός, fruit
caustique	euqitsuac	de καίω, je brûle : qui brûle, qui désorganise les substances animales
causus	susuac	de καίω, je brûle
cautère	erètuac	de καίω, je brûle
cébocéphale	elahpécobéc	de κήβος, espèce de singe, et κεφαλή, tête
cédréléon	noélérdéc	de κέδρος, cèdre, et ελαιον, huile
célocolique	euqilocoléc	de κήλη, hernie, et colique
célosome	emosoléc	de κήλη, hernie, et σώρα, corps
cénesthésie	eiséhtsenéc	de κοινός, commun, et αϊσθησις, faculté de sentir 
cénobion	noibonéc	de κοινός, commun, et βίος, vie : vie en commun
cénose	esonéc	de κενός, vide
céphalagre	ergalahpéc	de κεφαλή, tête, et άγρα, proie, capture
céphalalgie	eiglalahpéc	de κεφαλή, tête, et άλγος, douleur 
céphalanthe	ehtnalahpéc	de κεφαλή, tête, et άνθος, fleur 
